square_footage,bedrooms,bathrooms,year_built,lot_size,distance_to_city_center,school_rating,price
1360,2,2,1963,28127,24.0,9,384389
4272,3,4,1976,6141,3.8,2,450000
3592,1,1,1989,29884,21.0,4,450000
966,6,3,2007,25885,12.5,7,450000
4926,1,3,1977,3708,15.5,1,450000
3944,2,4,1975,19375,27.1,2,450000
3671,5,3,2012,16088,26.7,9,450000
3419,1,4,2015,45602,24.6,10,450000
630,1,3,1974,46046,15.4,7,388534
2185,6,2,1952,11014,22.1,10,450000
1269,6,1,2021,4273,15.4,7,429051
2891,3,2,1993,48135,26.1,6,450000
2933,6,1,1991,38306,12.1,3,450000
1684,4,1,1955,31881,29.1,10,418166
3885,2,1,1988,32486,28.0,3,450000
4617,2,2,2001,13541,22.3,2,450000
3404,5,1,1972,9712,8.5,6,450000
974,5,2,1999,10168,4.0,4,450000
1582,2,4,1992,4551,25.7,5,435857
3058,5,3,1968,13297,5.0,3,450000
2547,3,3,2018,44733,25.6,6,450000
3247,6,1,2000,28128,14.8,3,450000
1475,2,2,1960,3832,12.3,8,394571
2306,5,3,1961,29483,27.1,9,450000
689,2,2,2023,23063,18.2,4,198932
3234,4,2,1957,23963,17.3,9,450000
3505,1,1,1973,14422,16.8,7,450000
2399,6,3,1990,33920,11.2,3,450000
1767,2,1,1985,12156,23.6,7,423709
2028,1,1,2021,12108,7.7,1,418031
3702,5,3,2004,32845,28.2,3,450000
4056,1,3,1958,3800,26.8,6,450000
4390,6,4,1996,39078,10.2,4,450000
1146,2,4,1964,43712,21.9,7,439825
3388,4,2,1997,3610,17.2,3,450000
2935,5,3,1991,13067,10.2,1,450000
1100,2,4,2009,34872,29.7,9,416083
2863,6,2,2019,11728,0.9,6,450000
2561,5,2,1961,30566,7.7,8,450000
741,3,2,1951,30783,15.7,3,262867
2541,1,4,1956,21583,15.7,8,450000
3324,6,3,1952,21238,17.7,2,450000
3112,3,1,1952,8263,22.6,4,450000
1863,2,2,1976,2914,18.7,3,397298
1978,4,4,1989,24749,18.0,10,450000
3056,5,4,1982,20456,1.7,1,450000
1275,1,1,1950,26582,11.4,7,339786
4514,5,1,1957,1406,7.0,10,450000
534,2,4,1981,14689,8.0,2,305905
3652,5,3,1997,33934,16.7,4,450000
2455,1,1,1953,34276,6.1,9,450000
2085,2,4,2019,37432,8.9,6,450000
4443,5,1,1968,20873,7.2,8,450000
3573,4,3,1981,14050,28.5,2,450000
1521,6,2,1958,1680,28.3,7,433011
3961,2,1,1961,19908,18.3,6,450000
3113,6,3,1960,19504,27.7,9,450000
4343,2,4,1995,22644,23.6,7,450000
2000,4,1,1965,38125,17.7,1,450000
661,6,1,1950,2363,0.3,8,450000
4797,3,4,2012,43291,23.2,10,450000
2481,1,2,1970,36060,21.1,3,450000
1495,3,4,1979,2538,18.5,2,404984
3842,5,1,1962,37176,22.8,3,450000
4298,4,4,1983,42520,15.4,6,450000
1775,3,3,1953,26675,21.2,3,450000
1516,2,4,1977,19287,28.1,10,450000
837,5,1,2008,1174,11.3,5,367538
1378,5,4,1976,27732,21.3,6,450000
1576,3,2,2018,35998,14.3,8,450000
4493,3,4,1974,38055,20.3,7,450000
879,4,2,1952,13112,22.9,8,319413
